"ESTUDIO","CUES","CCAA","PROV","MUN","CAPITAL","TAMUNI","ENTREV","TIPO_TEL","SEXO","EDAD","P0","P1","P2","P3","P4","P4A_1","P4A_2","P4A_3","P4A_4","P4A_5","P4A_6","P4A_9","P4B","P4C","P4D","P4E","P4F","P4G_1","P4G_2","P4G_3","P4G_4","P4G_5","P4G_9","P4H_1","P4H_2","P4H_3","P4H_4","P4H_5","P4H_6","P4H_9","P4I","P5","P5A_1","P5A_2","P5A_3","P5A_4","P5B_1","P5B_2","P5B_3","P5B_4","P6","P6A","P7","P8","P9","P10","P11_1","P11_2","P12","P13_1","P13_2","P14_1","P14_2","P15","P16","P17_1","P17_2","P17_3","P18_1","P18_2","P18_3","P19_1","P19_2","P19_3","P19_4","P19_5","P20","P21","P22","INTENCIONG","ESCIDEOL","ESCIDEOLPOLI_1","ESCIDEOLPOLI_2","ESCIDEOLPOLI_3","ESCIDEOLPOLI_4","ESCIDEOLPOLI_5","P27_1","P27_2","P27_3","P27_4","P27_5","PARTICIPACIONG","FIDEVOTO","P31","ESCUELA","NIVELESTENTREV","RELIGION","ECIVIL","SITLAB","CNO11","CLASESOCIAL","IA_E1_DIA","IA_E1_MES","IA_E1_ANYO","IA_E2","IA_E3","IA_E4","P4A_7","P4A_8","P4A_10","P4A_11","VOTOSIMG","ESTUDIOS","CLASESUB"
3292,2511,1,41,0,3,4,0,2,1,40,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,1,1,3,2,6,4,2,10,1,5,6,4,4,22,32,99,21,53,23,6,1,6,1,1,3,4,5,5,1,5,5,4,10,10,5,1,1,5,1,1,2,2,3,10,5,2,1,3,12,4,9,20,5,23,3,NA,NA,NA,NA,97,6,5
3292,771,1,41,0,3,3,0,2,2,69,1,1,8,99,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,1,8,1,NA,1,NA,1,2,2,2,8,3,2,4,98,2,1,98,9,99,5,5,11,16,99,1,6,12,9,1,1,1,1,1,4,1,1,98,98,98,98,98,98,9,1,1,1,1,1,1,1,3,2,2,3,3,NA,12,2,9,20,3,24,3,NA,NA,NA,NA,2,2,5
3292,2145,1,41,0,3,3,0,2,1,29,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,1,4,2,1,2,1,2,3,1,5,2,1,3,97,5,8,2,1,9,45,98,12,22,6,7,2,7,1,7,2,4,4,2,3,5,7,3,10,6,8,7,5,7,4,1,3,1,3,10,6,2,1,10,3,3,9,20,4,18,4,NA,NA,NA,NA,21,6,2
3292,244,1,41,0,3,2,0,2,2,42,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,3,1,2,4,3,2,3,2,1,8,3,3,5,5,2,53,8,1,53,51,6,2,2,1,1,4,3,4,7,2,5,3,1,1,10,6,3,3,1,1,5,1,3,3,3,9,2,2,1,3,3,1,9,20,2,15,3,NA,NA,NA,NA,50,6,2
3292,2323,1,41,0,3,3,0,1,2,73,1,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,1,1,3,2,2,2,3,3,2,2,4,2,3,5,3,5,3,3,45,22,1,99,99,99,8,9,1,6,6,3,3,1,1,8,8,8,1,6,7,9,7,7,1,5,1,3,1,3,2,1,2,2,NA,3,4,9,20,5,16,3,NA,NA,NA,NA,2,2,2
3292,1648,1,41,0,3,3,0,2,2,28,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,NA,NA,3,2,2,2,3,2,6,5,2,3,2,2,9,4,1,53,1,22,22,53,97,98,98,98,98,98,9,9,99,5,99,98,98,98,98,98,98,98,98,98,98,5,5,6,3,13,2,2,1,2,3,3,9,20,4,14,2,NA,NA,NA,NA,99,6,2
3292,1898,1,41,0,3,3,0,2,2,50,1,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,3,2,3,2,3,2,5,3,2,1,10,3,5,4,2,51,11,94,20,9,11,7,1,1,1,1,2,4,1,1,5,98,10,3,98,98,5,98,98,2,2,1,2,5,3,2,2,1,1,7,5,3,9,20,4,23,3,NA,NA,NA,NA,2,2,4
3292,1844,1,41,0,3,2,0,2,1,38,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,3,1,1,4,3,1,2,7,1,4,10,5,1,4,4,53,1,50,53,9,50,5,5,4,2,5,4,4,6,3,5,3,7,1,10,6,4,4,2,2,4,1,3,3,3,9,5,1,1,3,4,3,9,20,4,17,3,NA,NA,NA,NA,4,6,3
3292,1814,1,41,0,3,3,0,2,1,60,1,1,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,NA,NA,NA,1,4,2,1,5,1,1,8,97,1,1,2,3,1,5,4,24,99,99,8,29,20,1,1,1,1,1,4,3,4,5,98,98,98,3,9,7,1,1,5,1,2,5,3,1,3,11,2,1,1,5,5,3,9,20,4,17,3,NA,NA,NA,NA,97,6,4
3292,1105,1,41,0,3,3,0,2,1,62,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,2,1,2,3,2,2,2,3,1,2,7,1,5,2,1,4,4,4,53,1,99,53,1,98,5,2,2,1,5,3,4,1,1,2,98,98,98,98,98,5,2,1,2,5,1,9,8,3,12,9,1,1,1,2,2,9,20,3,10,3,NA,NA,NA,NA,2,6,1
